PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,GoalX,GoalY,GoalZ
-4.74E-08,2.167668,3.52E-08,11.174176,-16.784815,-10.105331,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,12.124907,-16.152884,-9.86076,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.409925,-15.807866,-8.631469,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.862429,-15.103544,-7.781846,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.842381,-14.559258,-6.581774,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.78337,-13.735116,-5.598185,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.874635,-13.058006,-4.509053,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,12.014314,-12.552695,-3.318449,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.709059,-12.144563,-2.008348,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.620425,-11.769122,-0.689684,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.351932,-11.145103,0.514514,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.042116,-10.552718,1.742422,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,11.094744,-9.638406,2.65349,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,10.98275,-8.746872,3.608641,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,10.904346,-7.910503,4.608809,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,10.400968,-7.136591,5.571114,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,9.88707,-6.532682,6.645739,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,9.451069,-5.886605,7.699372,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,9.079549,-5.290679,8.7858,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,8.764395,-4.930121,9.971524,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,8.232932,-4.576716,11.08505,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,8.330417,-4.900049,12.231151,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,8.100319,-4.896729,13.428673,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,7.6037,-4.468924,14.486825,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,7.290066,-3.914404,15.517522,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,6.929105,-3.482041,16.577288,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,6.440251,-3.266284,17.645107,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,6.253232,-3.179456,18.776217,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,6.056506,-3.107476,19.895086,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,5.598288,-2.828066,20.921566,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,5.35957,-2.667839,22.000521,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,5.155654,-2.63258,23.086283,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.947578,-2.551181,24.15243,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.737095,-2.57156,25.206913,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.70864,-2.602999,26.256981,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.589893,-2.624666,27.284412,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.365967,-2.525954,28.282183,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,4.164283,-2.43302,29.276667,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.952578,-2.28162,30.229584,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.758765,-2.257628,31.190861,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.524626,-2.159801,32.118183,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,2.894648,-2.261433,32.944893,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.261424,-2.22216,33.752296,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.551464,-2.071392,34.576443,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,3.248043,-1.957609,35.420982,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,2.92443,-2.13932,36.241714,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,2.811593,-2.128628,37.093033,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,2.423851,-2.017675,37.859085,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,2.038351,-2.153711,38.659489,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.670277,-2.04154,39.427029,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.663631,-2.054476,40.24688,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.854152,-2.091151,40.988743,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.8572,-1.952096,41.745815,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.699107,-1.906796,42.454212,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.480517,-1.396305,42.991142,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.487466,-1.53245,43.703365,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.388786,-1.481537,44.352482,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.484237,-1.541126,45.036942,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.367307,-1.610166,45.665909,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.298839,-1.562651,46.301064,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.061717,-1.291988,46.792423,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.06829,-1.445151,47.423401,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.006571,-1.064149,47.879959,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.12322,-1.244119,48.453747,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,1.014829,-1.258077,49.042366,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.933818,-0.865763,49.419762,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.920419,-0.828265,49.898361,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.545812,-0.33329,50.065166,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.299699,0.059883,50.286606,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.453377,-0.13774,50.78466,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.47569,-0.232716,51.232773,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.410037,-0.189859,51.633247,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.454555,-0.495298,52.163963,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.412372,-0.532611,52.563107,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.313365,-0.265726,52.854588,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.334312,-0.268796,53.230297,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.179367,0.080856,53.401363,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.028164,0.081406,53.516289,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.099112,-0.045393,53.864895,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.007554,-0.047261,54.152393,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.025169,0.074104,54.414837,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.021265,0.12615,54.606796,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.199582,0.078154,54.874332,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.020407,0.286038,54.888634,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.037191,0.262485,55.092094,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,0.07019,0.202753,55.322815,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.110254,0.216318,55.333385,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.110917,0.215681,55.576439,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.227237,0.415181,55.637432,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.322489,0.482568,55.745876,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.214888,0.300761,56.044788,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.16249,0.229986,56.246735,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.233824,0.091937,56.413223,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.211801,0.24682,56.600094,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.298585,0.375238,56.601292,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.100464,0.115965,56.904408,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.182505,0.393224,56.893459,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.351947,0.844749,56.726948,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.220269,0.555675,56.91404,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.372488,0.559092,56.979225,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.364018,0.59549,56.831478,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.319458,0.504099,56.996212,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.12961,0.27959,57.203201,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.401884,0.892342,56.781223,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.292437,0.482705,57.007534,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.253883,0.620371,56.896584,4.77E-06,0.000257261,3.000002
-4.74E-08,2.167668,3.52E-08,-0.212705,0.522127,57.027515,4.77E-06,0.000257261,3.000002
