PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,GoalX,GoalY,GoalZ
0.8893222,6.277185,-0.9040104,-357.8824,359.3048,4.917456,4.753936E-06,-0.09974273,3.000002
0.8928589,6.408806,-0.9033532,-357.3145,356.2485,4.929437,4.753936E-06,-0.09974273,3.000002
0.8982748,6.810902,-0.9039972,-356.3264,351.2253,4.380381,4.753936E-06,-0.09974273,3.000002
0.9003299,7.054375,-0.9056129,-356.0855,349.4968,3.859122,4.753936E-06,-0.09974273,3.000002
0.9020322,7.320144,-0.9082552,-356.0093,348.2857,3.158367,4.753936E-06,-0.09974273,3.000002
0.9035944,7.577518,-0.9120466,-356.1013,347.7581,2.431015,4.753936E-06,-0.09974273,3.000002
0.9064995,8.063251,-0.9230471,-356.7137,348.7418,0.9097005,4.753936E-06,-0.09974273,3.000002
0.9079274,8.294964,-0.9301338,-357.1924,350.2466,0.1351287,4.753936E-06,-0.09974273,3.000002
0.9093874,8.524565,-0.9381256,-357.758,352.4216,359.3694,4.753936E-06,-0.09974273,3.000002
0.9126511,8.980614,-0.9559197,-358.8872,358.0771,358.0947,4.753936E-06,-0.09974273,3.000002
0.9146137,9.189544,-0.9649151,-359.546,1.218394,357.7477,4.753936E-06,-0.09974273,3.000002
0.9167047,9.418161,-0.973698,-0.1811812,4.331948,357.4391,4.753936E-06,-0.09974273,3.000002
0.9191169,9.619302,-0.9819872,-0.7588519,7.158846,357.4001,4.753936E-06,-0.09974273,3.000002
0.9247008,9.975701,-0.9962067,-1.694341,11.44238,357.7596,4.753936E-06,-0.09974273,3.000002
0.9278134,10.11962,-1.001629,-2.105484,12.65965,358.0666,4.753936E-06,-0.09974273,3.000002
0.9311393,10.24126,-1.005689,-2.47246,13.10009,358.447,4.753936E-06,-0.09974273,3.000002
0.9381679,10.45332,-1.010023,-2.889232,11.92514,359.1273,4.753936E-06,-0.09974273,3.000002
0.941826,10.54873,-1.010381,-2.925208,10.32609,359.424,4.753936E-06,-0.09974273,3.000002
0.9455441,10.64375,-1.009663,-2.840287,8.06326,359.6974,4.753936E-06,-0.09974273,3.000002
0.9492928,10.74446,-1.007994,-2.732201,5.318164,359.9688,4.753936E-06,-0.09974273,3.000002
0.9530826,10.85114,-1.005995,-2.458743,2.341266,0.3114828,4.753936E-06,-0.09974273,3.000002
0.9605695,11.10492,-1.001768,-1.550717,355.9687,1.195449,4.753936E-06,-0.09974273,3.000002
0.9640477,11.27288,-1.000371,-0.9350517,353.0836,1.602846,4.753936E-06,-0.09974273,3.000002
0.9673574,11.44578,-0.9998127,-0.3326584,350.7365,2.032774,4.753936E-06,-0.09974273,3.000002
0.9704826,11.61717,-1.00025,-359.7504,348.9216,2.477273,4.753936E-06,-0.09974273,3.000002
0.975722,12.00434,-1.005069,-358.7271,347.3647,2.8864,4.753936E-06,-0.09974273,3.000002
0.9778451,12.21453,-1.00955,-358.3022,347.6053,2.836301,4.753936E-06,-0.09974273,3.000002
0.9796615,12.43722,-1.01539,-357.9354,348.5143,2.611986,4.753936E-06,-0.09974273,3.000002
0.9825645,12.93464,-1.030621,-357.3807,352.2262,1.718768,4.753936E-06,-0.09974273,3.000002
0.9837807,13.20991,-1.039416,-357.1983,354.7661,1.13306,4.753936E-06,-0.09974273,3.000002
0.9849989,13.4917,-1.048401,-357.1499,357.5365,0.6157326,4.753936E-06,-0.09974273,3.000002
0.9862368,13.78131,-1.057381,-357.2325,0.5379224,0.1787124,4.753936E-06,-0.09974273,3.000002
0.9885718,14.43882,-1.074206,-357.4658,6.208627,359.2576,4.753936E-06,-0.09974273,3.000002
0.9897602,14.76976,-1.081292,-357.6604,8.463757,358.8606,4.753936E-06,-0.09974273,3.000002
0.9909765,15.0997,-1.087318,-357.8351,10.19211,358.4713,4.753936E-06,-0.09974273,3.000002
0.992303,15.41164,-1.092065,-358.0466,11.31835,358.1771,4.753936E-06,-0.09974273,3.000002
0.9954265,15.95224,-1.09761,-358.5589,11.70007,357.9416,4.753936E-06,-0.09974273,3.000002
0.9973072,16.1644,-1.098466,-358.8155,10.87884,358.0635,4.753936E-06,-0.09974273,3.000002
0.9993439,16.35881,-1.098064,-359.116,9.479447,358.2674,4.753936E-06,-0.09974273,3.000002
1.00369,16.75141,-1.094287,-359.6841,5.208147,358.6385,4.753936E-06,-0.09974273,3.000002
1.006047,16.94474,-1.091214,-359.9934,2.433883,358.8852,4.753936E-06,-0.09974273,3.000002
1.008474,17.16385,-1.087978,-0.2877084,359.6861,359.1145,4.753936E-06,-0.09974273,3.000002
1.010953,17.40873,-1.084781,-0.5685851,356.9647,359.3278,4.753936E-06,-0.09974273,3.000002
1.015989,17.95788,-1.079654,-1.108013,352.1058,359.7117,4.753936E-06,-0.09974273,3.000002
1.018499,18.24044,-1.078424,-1.383699,350.4683,359.8849,4.753936E-06,-0.09974273,3.000002
1.020976,18.52055,-1.078233,-1.668013,349.3515,0.04783683,4.753936E-06,-0.09974273,3.000002
1.025607,19.06667,-1.081765,-2.089845,348.9869,0.2280242,4.753936E-06,-0.09974273,3.000002
1.027795,19.3189,-1.08561,-2.186435,349.8086,0.3385778,4.753936E-06,-0.09974273,3.000002
