Time,Lat,Lon,Roll,Pitch,Yaw,Hight,PWM1,PWM2
0,2,0,-0.117945,0.657462,35.902237,0,0,3
0,2,0,-0.263256,0.117936,35.985752,0,0,3
0,2,0,0.684343,0.497438,35.331013,0,0,3
0,2,0,0.892456,1.132507,34.391644,0,0,3
0,2,0,0.98059,1.516833,33.352917,0,0,3
0,2,0,1.062993,1.686438,32.402206,0,0,3
0,2,0,0.239459,0.964064,32.294594,0,0,3
0,2,0,0.900457,1.340418,31.386057,0,0,3
0,2,0,0.81381,1.442927,30.654896,0,0,3
0,2,0,0.406616,0.77089,30.060278,0,0,3
0,2,0,1.066479,0.941011,29.610666,0,0,3
0,2,0,0.353453,0.563858,29.138964,0,0,3
0,2,0,0.423243,0.336194,29.449017,0,0,3
0,2,0,0.903944,1.042208,28.727234,0,0,3
0,2,0,-0.045682,0.52932,28.584829,0,0,3
0,2,0,0.562708,-0.045519,27.783598,0,0,3
0,2,0,-0.335206,0.46079,27.703056,0,0,3
0,2,0,0.523674,0.920838,27.000982,0,0,3
0,2,0,1.037756,0.651944,26.084101,0,0,3
0,2,0,1.810541,0.258745,25.47645,0,0,3
0,2,0,0.938321,0.907261,25.384491,0,0,3
0,2,0,0.138722,0.953934,24.943377,0,0,3
0,2,0,0.403004,0.825438,24.957298,0,0,3
0,2,0,0.63483,1.234477,24.337078,0,0,3
0,2,0,0.547148,0.118776,24.282555,0,0,3
0,2,0,0.79086,1.056977,23.870501,0,0,3
0,2,0,-0.160742,0.52949,24.173046,0,0,3
0,2,0,-0.143025,1.221564,24.146208,0,0,3
0,2,0,0.847497,0.96377,23.550379,0,0,3
0,2,0,1.523701,1.20668,22.566782,0,0,3
0,2,0,0.442382,0.982368,22.094488,0,0,3
0,2,0,-0.347711,1.229763,21.960424,0,0,3
0,2,0,0.640621,0.712685,21.742352,0,0,3
0,2,0,-0.045348,0.977598,21.619045,0,0,3
0,2,0,0.731895,0.382664,21.53196,0,0,3
